"","x"
"1",4.65271873883467
"2",4.65271873883467
"3",4.65271873883467
"4",4.65271873883467
"5",4.65271873883467
"6",4.65271873883467
"7",4.65271873883467
"8",4.65271873883467
"9",4.65271873883467
"10",4.65271873883467
"11",4.65271873883467
"12",4.65271873883467
"13",4.65271873883467
"14",4.65271873883467
"15",4.65271873883467
"16",4.65271873883467
"17",4.65271873883467
"18",4.65271873883467
"19",4.65271873883467
"20",4.65271873883467
"21",4.65271873883467
"22",4.65271873883467
"23",4.65271873883467
"24",4.65271873883467
"25",4.65271873883467
"26",4.65271873883467
"27",4.65271873883467
"28",4.65271873883467
"29",4.65271873883467
"30",4.65271873883467
"31",4.65271873883467
"32",4.65271873883467
"33",4.65271873883467
"34",4.65271873883467
"35",4.65271873883467
"36",4.65271873883467
"37",4.65271873883467
"38",4.65271873883467
"39",4.65271873883467
"40",4.65271873883467
"41",4.65271873883467
"42",4.65271873883467
"43",4.65271873883467
"44",4.65271873883467
"45",4.65271873883467
"46",4.65271873883467
"47",4.65271873883467
"48",4.65271873883467
"49",4.65271873883467
"50",4.65271873883467
"51",4.65271873883467
"52",4.65271873883467
"53",4.65271873883467
"54",4.65271873883467
"55",4.65271873883467
"56",4.65271873883467
"57",4.65271873883467
"58",4.65271873883467
"59",4.65271873883467
"60",4.65271873883467
"61",4.65271873883467
"62",4.65271873883467
"63",4.65271873883467
"64",4.65271873883467
"65",4.65271873883467
"66",4.65271873883467
"67",4.65271873883467
"68",4.65271873883467
"69",4.65271873883467
"70",4.65271873883467
"71",4.65271873883467
"72",4.65271873883467
"73",4.65271873883467
"74",4.65271873883467
"75",4.65271873883467
"76",4.65271873883467
"77",4.65271873883467
"78",4.65271873883467
"79",4.65271873883467
"80",4.65271873883467
"81",4.65271873883467
"82",4.65271873883467
"83",4.65271873883467
"84",4.65271873883467
"85",4.65271873883467
"86",4.65271873883467
"87",4.65271873883467
"88",4.65271873883467
"89",4.65271873883467
"90",4.65271873883467
"91",4.65271873883467
"92",4.65271873883467
"93",4.65271873883467
"94",4.65271873883467
"95",4.65271873883467
"96",4.65271873883467
"97",4.65271873883467
"98",4.65271873883467
"99",4.65271873883467
"100",4.65271873883467
"101",4.65271873883467
"102",4.65271873883467
"103",4.65271873883467
